"id","player.name","xA","play_pattern.name","pass.length","pass.angle","pass.height.name","pass.body_part.name","start.X","start.Y","end.X","end.Y","pass.outcome"
"d2a6e1fe-6701-48ac-b03a-85c98d5ba906","Jordan Brian Henderson",0.011111712,"From Throw In",17.62555,1.4513674,"Ground Pass","Right Foot",78,37.1,80.1,54.6,"No goal"
"3f649523-5339-4ee3-8567-8d207fca2f14","Roberto Firmino Barbosa de Oliveira",0.038991462,"From Keeper",4.472136,1.7506498,"Ground Pass","Right Foot",94,53.3,93.2,57.7,"No goal"
"98ff7789-fabe-4d12-bc36-f9ae758742b9","Trent Alexander-Arnold",0.014388007,"From Throw In",26.832815,-0.4636476,"High Pass","Other",92.7,80,116.7,68,"No goal"
"fee8184e-c893-4cb1-b070-dd3758b0c3af","Joël Andre Job Matip",0.012589856,"Regular Play",48.584976,-1.0565008,"High Pass","Right Foot",23.4,50,47.3,7.7,"No goal"
"af5521cd-d6bc-45db-a029-c3756d17ab15","Bamidele Alli",0.03756312,"From Throw In",11.866339,1.7830669,"Ground Pass","Right Foot",93.2,32.3,90.7,43.9,"No goal"
"d0e2abe9-ee3b-424c-bdc1-b5232d323e05","Andrew Robertson",0.018379975,"From Throw In",15.770859,1.7880898,"Ground Pass","Left Foot",87,17.6,83.6,33,"No goal"
"93862fa4-38e1-4c15-9e58-c415b9372f7d","Georginio Wijnaldum",0.06356148,"From Counter",51.906166,0.41020417,"High Pass","Right Foot",54.4,34.8,102,55.5,"No goal"
"7d67da89-af24-46d8-8a76-64e17625e006","Christian Dannemann Eriksen",0.14500427,"From Keeper",44.45042,-0.7408417,"High Pass","Right Foot",73.3,76,106.1,46,"No goal"
"1b2cbf26-da57-4c0f-879a-2acc5413a1cd","Danny Rose",0.019459577,"From Corner",53.388012,1.7821513,"High Pass","Left Foot",120,1,108.8,53.2,"No goal"
"37c82d59-64d7-4bb7-9bb4-e45f0b25283e","Mohamed Salah",0.059357923,"From Throw In",3.6,3.1415927,"Ground Pass","Right Foot",106.3,45.8,102.7,45.8,"No goal"
"0d91c038-0e84-4324-be94-b3137ee2306f","Heung-Min Son",0.10500679,"From Throw In",10.823123,-0.90327024,"Ground Pass","Right Foot",101.3,34.2,108,25.7,"No goal"
